 OrderID,UserID,ProductID,Quantity,OrderDate,ReviewRating,OrderAmount,Price_x,Price_y,TotalAmount,Price
O0001,U0042,P0003,2,2024-01-15 10:23:00,4,47998,23999,23999,47998,23999
O0002,U0121,P0010,1,2024-01-16 18:45:00,5,499,499,499,499,499
O0003,U0377,P0024,3,2024-01-17 09:12:00,5,5997,1999,1999,5997,1999
O0004,U0189,P0007,1,2024-01-18 13:05:00,3,7499,7499,7499,7499,7499
O0005,U0098,P0002,1,2024-01-19 20:35:00,5,69999,69999,69999,69999,69999
O0006,U0451,P0004,2,2024-01-20 11:48:00,4,17998,8999,8999,17998,8999
O0007,U0270,P0015,1,2024-01-21 15:26:00,5,7999,7999,7999,7999,7999
O0008,U0165,P0031,1,2024-01-22 19:14:00,4,45999,45999,45999,45999,45999
O0009,U0500,P0011,4,2024-01-23 09:56:00,5,1196,299,299,1196,299
O0010,U0088,P0059,1,2024-01-24 16:42:00,5,19999,19999,19999,19999,19999
O0011,U0339,P0005,2,2024-01-25 21:10:00,4,21998,10999,10999,21998,10999
O0012,U0112,P0047,1,2024-01-26 08:33:00,3,999,999,999,999,999
O0013,U0244,P0099,1,2024-01-27 12:15:00,4,21999,21999,21999,21999,21999
O0014,U0408,P0065,1,2024-01-28 14:48:00,5,24999,24999,24999,24999,24999
O0015,U0135,P0017,1,2024-01-29 17:32:00,4,4499,4499,4499,4499,4499
O0016,U0181,P0082,1,2024-02-01 20:50:00,5,69999,69999,69999,69999,69999
O0017,U0419,P0027,2,2024-02-02 10:05:00,4,23998,11999,11999,23998,11999
O0018,U0066,P0030,3,2024-02-03 09:25:00,5,2697,899,899,2697,899
O0019,U0217,P0048,1,2024-02-03 15:40:00,3,4999,4999,4999,4999,4999
O0020,U0325,P0102,1,2024-02-04 11:18:00,5,49999,49999,49999,49999,49999
O0021,U0148,P0028,2,2024-02-04 16:55:00,4,19998,9999,9999,19998,9999
O0022,U0294,P0061,1,2024-02-05 20:12:00,5,2499,2499,2499,2499,2499
O0023,U0109,P0116,1,2024-02-06 12:42:00,5,129999,129999,129999,129999,129999
O0024,U0384,P0018,1,2024-02-07 19:33:00,4,62999,62999,62999,62999,62999
O0025,U0477,P0193,2,2024-02-08 08:16:00,4,798,399,399,798,399
O0026,U0051,P0070,1,2024-02-08 14:20:00,5,19999,19999,19999,19999,19999
O0027,U0128,P0140,1,2024-02-09 17:11:00,5,39999,39999,39999,39999,39999
O0028,U0276,P0088,1,2024-02-10 11:09:00,5,38999,38999,38999,38999,38999
O0029,U0445,P0026,3,2024-02-11 20:27:00,4,3897,1299,1299,3897,1299
O0030,U0092,P0100,1,2024-02-12 09:45:00,5,24999,24999,24999,24999,24999
