ReviewID,OrderID,UserID,ProductID,ReviewDate,ReviewRating,ReviewText
R0001,O0001,U0105,P0054,2026-02-15,5,"Excellent quality and fast delivery!"
R0002,O0002,U0234,P0112,2026-02-16,4,"Good product, but packaging could be better."
R0003,O0003,U0142,P0097,2026-02-16,, 
R0004,O0004,U0310,P0068,2026-02-17,5,"Very satisfied with my purchase."
R0005,O0005,U0277,P0019,2026-02-18,4,"Works well, value for money."
R0006,O0006,U0221,P0164,2026-02-19,3,"Average quality, expected better."
R0007,O0007,U0122,P0045,2026-02-20,, 
R0008,O0008,U0189,P0129,2026-02-20,5,"Highly recommend this product!"
R0009,O0009,U0251,P0073,2026-02-21,4,"Good, but delivery was a bit late."
R0010,O0010,U0299,P0183,2026-02-22,5,"Perfect, just what I needed."
R0011,O0011,U0167,P0020,2026-02-22,, 
R0012,O0012,U0103,P0141,2026-02-23,4,"Meets my expectations."
R0013,O0013,U0335,P0196,2026-02-24,5,"Amazing product, worth the price."
R0014,O0014,U0218,P0134,2026-02-24,3,"Not as durable as advertised."
R0015,O0015,U0272,P0092,2026-02-25,, 
R0016,O0016,U0139,P0061,2026-02-26,4,"Decent product for the price."
R0017,O0017,U0304,P0017,2026-02-27,5,"Loving this purchase!"
R0018,O0018,U0225,P0192,2026-02-27,4,"Pretty good, would buy again."
R0019,O0019,U0175,P0050,2026-02-28,2,"Not satisfied, poor build."
R0020,O0020,U0246,P0106,2026-02-28,, 
R0021,O0021,U0150,P0037,2026-03-01,5,"Exactly as described."
R0022,O0022,U0288,P0180,2026-03-02,4,"Good quality, slightly overpriced."
R0023,O0023,U0202,P0114,2026-03-02,5,"Fantastic experience!"
R0024,O0024,U0141,P0048,2026-03-03,3,"Okay product, nothing special."
R0025,O0025,U0318,P0177,2026-03-04,, 
R0026,O0026,U0112,P0166,2026-03-05,5,"Brilliant, exceeded expectations!"
R0027,O0027,U0265,P0081,2026-03-05,4,"Nice product, fast shipping."
R0028,O0028,U0196,P0028,2026-03-06,2,"Color faded quickly."
R0029,O0029,U0237,P0124,2026-03-07,5,"Superb quality and finish."
R0030,O0030,U0158,P0065,2026-03-07,, 
R0031,O0031,U0259,P0198,2026-03-08,5,"A must-have item!"
R0032,O0032,U0320,P0076,2026-03-09,4,"Works fine, no issues so far."
R0033,O0033,U0187,P0011,2026-03-09,3,"Product is okay, not great."
R0034,O0034,U0229,P0139,2026-03-10,5,"Absolutely love it!"
R0035,O0035,U0301,P0157,2026-03-11,, 
R0036,O0036,U0168,P0025,2026-03-11,4,"Camera quality is excellent."
R0037,O0037,U0192,P0040,2026-03-12,3,"Good taste but too pricey."
R0038,O0038,U0213,P0185,2026-03-12,5,"Best purchase I've made recently!"
R0039,O0039,U0278,P0110,2026-03-13,4,"Looks good and feels premium."
R0040,O0040,U0131,P0069,2026-03-14,, 
R0041,O0041,U0207,P0102,2026-03-14,5,"Amazing laptop, very fast."
R0042,O0042,U0294,P0052,2026-03-15,4,"Comfortable fit."
R0043,O0043,U0149,P0170,2026-03-16,3,"Toothpaste is fine, nothing special."
R0044,O0044,U0230,P0199,2026-03-17,5,"Great book for beginners."
R0045,O0045,U0266,P0089,2026-03-17,, 
